A. Datasets (Prognostics/ Diagnosis),
1. Prognostics (Bài toán chính),
Paderborn University (Time-Varying Run-to-Failure),https://doi.org/10.5281/zenodo.10805042,"- Features: Vibration, Temperature
- Overview: Một bộ dữ liệu run-to-failure của ball bearings (vòng bi) chịu các điều kiện load (tải trọng) và speed (tốc độ) time-varying (thay đổi theo thời gian). Đây là một đóng góp khác biệt từ cùng một tổ chức đã cung cấp bộ dữ liệu PU diagnosis ở trên, tập trung cụ thể vào công tác prognostics (dự báo) trong các non-stationary operating conditions (điều kiện vận hành không dừng) — một kịch bản rất quan trọng nhưng lại ít được nghiên cứu và cung cấp dữ liệu.
- Experimental Setup (Thiết lập thực nghiệm): Các ball bearings được vận hành run to failure dưới các load and speed profiles (biểu đồ tải và tốc độ) thay đổi liên tục, thay vì ở các điều kiện bất biến (constant conditions). Điều này phản ánh hành vi của máy móc trong thực tế một cách chính xác hơn so với hầu hết các bộ dữ liệu run-to-failure hiện có. 
- Data Characteristics (Đặc điểm dữ liệu): Chứa các tín hiệu vibration (rung động) và temperature (nhiệt độ) được ghi nhận trong suốt toàn bộ vòng đời của bearing. 
- Operating Conditions (Điều kiện vận hành): Các time-varying speed and load profiles được thiết kế nhằm mô phỏng sát nhất các chế độ vận hành công nghiệp thực tế."
NASA IMS,https://data.nasa.gov/dataset/ims-bearings,"- Features: Vibration
- Overview: Một bộ dữ liệu run-to-failure nền tảng từ NASA Ames Prognostics Data Repository, được sử dụng rộng rãi để kiểm chứng các thuật toán dự đoán RUL (Remaining Useful Life).
- Experimental Setup: Bốn bearings (vòng bi) được vận hành liên tục cho đến khi hỏng dưới một radial load (tải trọng hướng tâm) lớn. Bộ dữ liệu này bao gồm ba thí nghiệm run-to-failure riêng biệt.
- Data Characteristics: Dữ liệu vibration (rung động) được thu thập với tần số lấy mẫu là 20 kHz thông qua các snapshots (bản ghi ngắn) dài 1 giây sau mỗi 10 phút, và được cung cấp dưới định dạng tệp văn bản ASCII.
- Operating Conditions: Tất cả các thí nghiệm đều được tiến hành dưới một constant condition (điều kiện bất biến) duy nhất: tốc độ 2000 RPM và radial load ở mức 6000 lbs."
FEMTO-ST (PRONOSTIA),https://github.com/Lucky-Loek/ieee-phm-2012-data-challenge-dataset,"- Features: Vibration, Temperature
- Overview: Được cung cấp bởi viện FEMTO-ST thông qua cuộc thi IEEE PHM 2012 Prognostic Challenge, tập trung vào bài toán dự báo RUL trong điều kiện vận hành thay đổi.
- Experimental Setup: Sử dụng thiết bị PRONOSTIA để thực hiện các thử nghiệm run-to-failure trên vòng bi NSK 6203.
- Data Characteristics: Ghi nhận tín hiệu rung động (ngang và dọc) và nhiệt độ. Bao gồm 17 bộ dữ liệu run-to-failure dưới các điều kiện tải và tốc độ khác nhau.
- Operating Conditions: 3 kịch bản vận hành chính: (1800 rpm, 4000 N), (1650 rpm, 4200 N), và (1500 rpm, 5000 N)."
Xi'an Jiaotong University (XJTU-SY),https://github.com/WangBiaoXJTU/xjtu-sy-bearing-datasets,"- Features: Vibration
- Overview: Một bộ dữ liệu run-to-failure hiện đại từ Đại học Xi'an Jiaotong, cung cấp dữ liệu chất lượng cao cho việc nghiên cứu chẩn đoán và dự báo lỗi.
- Experimental Setup: Thử nghiệm trên vòng bi LDK UER204. Sử dụng cảm biến gia tốc PCB 352C33 để thu thập tín hiệu rung động ngang và dọc.
- Data Characteristics: Chứa dữ liệu của 15 vòng bi được chạy đến khi hỏng dưới 3 điều kiện vận hành khác nhau. Tần số lấy mẫu cao (25.6 kHz).
- Operating Conditions: 3 điều kiện: (2100 rpm, 12 kN), (2250 rpm, 11 kN), và (2400 rpm, 10 kN)."
KAIST Bearing Datasets,https://www.sciencedirect.com/science/article/pii/S235234092400372X,"- Features: Current, Vibration, Torque
- Overview: Bộ dữ liệu từ Viện Khoa học và Công nghệ Tiên tiến Hàn Quốc (KAIST), cung cấp cái nhìn đa chiều về tình trạng vòng bi thông qua nhiều loại cảm biến.
- Experimental Setup: Hệ thống thử nghiệm bao gồm động cơ, khớp nối và các vòng bi hỗ trợ, cho phép mô phỏng nhiều loại lỗi cơ khí khác nhau.
- Data Characteristics: Kết hợp đồng thời các tín hiệu dòng điện, rung động và mô-men xoắn, giúp tăng cường độ chính xác cho việc chẩn đoán lỗi.
- Operating Conditions: Thử nghiệm ở nhiều dải tốc độ và tải trọng khác nhau để kiểm tra tính mạnh mẽ của các thuật toán AI."
University of New South Wales (UNSW),https://data.mendeley.com/datasets/h4df4mgrfb/3,"- Features: Vibration
- Overview: Bộ dữ liệu từ Đại học New South Wales, thường được sử dụng để nghiên cứu chẩn đoán lỗi trong các điều kiện vận hành biến đổi và môi trường nhiễu.
- Experimental Setup: Thiết lập bao gồm các vòng bi có lỗi nhân tạo (vết cắt, rỗ) được tạo ra trên rãnh trong, rãnh ngoài hoặc viên bi.
- Data Characteristics: Tập trung vào việc phân tích phổ và các đặc trưng thời gian-tần số của tín hiệu rung động để phát hiện các thành phần tần số lỗi đặc trưng.
- Operating Conditions: Thử nghiệm ở nhiều tốc độ quay khác nhau để mô phỏng các kịch bản vận hành thực tế trong công nghiệp."
University of Ferrara,https://sfera.unife.it/handle/11392/2569668,"- Features: Vibration
- Overview: Cung cấp bởi Đại học Ferrara (Ý), tập trung vào việc phát hiện sớm các lỗi vòng bi thông qua các kỹ thuật xử lý tín hiệu tiên tiến.
- Experimental Setup: Sử dụng các vòng bi lăn với các loại lỗi được tạo ra một cách có kiểm soát trên băng thử chuyên dụng.
- Data Characteristics: Cung cấp dữ liệu rung động chất lượng cao, phù hợp để kiểm chứng các phương pháp lọc nhiễu và trích xuất đặc trưng.
- Operating Conditions: Vận hành chủ yếu ở các tốc độ không đổi với tải trọng xác định để thiết lập các ngưỡng chẩn đoán."
,
2. Diagnosis,
SCA Bearing Dataset,"- Features: Vibration
- Overview: Bộ dữ liệu từ Schaeffler (SCA), cung cấp dữ liệu thực tế về các tình trạng lỗi vòng bi trong môi trường công nghiệp.
- Experimental Setup: Được thu thập từ các băng thử công nghiệp tiêu chuẩn của Schaeffler để mô phỏng các điều kiện làm việc khắc nghiệt và lỗi tự nhiên.
- Data Characteristics: Chứa các tín hiệu rung động từ cả vòng bi khỏe mạnh và vòng bi có lỗi (tự nhiên hoặc nhân tạo), mang tính thực tiễn cao cho việc chẩn đoán.
- Operating Conditions: Điều kiện vận hành đa dạng, bao gồm cả các kịch bản tốc độ cao và tải trọng thay đổi."
Machinery Failure Prevention Technology (MFPT),"- Features: Vibration
- Overview: Một bộ dữ liệu chuẩn từ Hiệp hội Công nghệ Ngăn ngừa Hỏng hóc Máy móc (MFPT), rất phổ biến trong cộng đồng nghiên cứu chẩn đoán lỗi.
- Experimental Setup: Bao gồm dữ liệu từ các vòng bi khỏe mạnh, lỗi rãnh ngoài (tải cố định) và lỗi rãnh trong (tải biến thiên).
- Data Characteristics: Dữ liệu được tổ chức rõ ràng theo từng loại lỗi, rất hữu ích cho các bài toán phân loại (classification) trong chẩn đoán.
- Operating Conditions: Tải trọng từ 0 đến 600 lbs, tốc độ quay ổn định ở mức khoảng 25 Hz (1500 rpm)."
Paderborn University (PU),"- Features: Vibration, Motor Current
- Overview: Bộ dữ liệu Paderborn University (PU) danh tiếng, cung cấp dữ liệu chẩn đoán từ lỗi nhân tạo đến lỗi mài mòn tự nhiên.
- Experimental Setup: Sử dụng hệ thống truyền động điện tích hợp cảm biến đo mô-men xoắn và dòng điện pha động cơ.
- Data Characteristics: Chứa hơn 6000 phép đo từ 32 vòng bi. Đặc biệt hữu ích cho việc chẩn đoán lỗi không xâm lấn thông qua dòng điện (MCSA).
- Operating Conditions: 4 điều kiện vận hành kết hợp: tốc độ (900, 1500 rpm), tải trọng (0.1, 0.7 Nm) và lực hướng tâm (400, 1000 N)."
University of Ottawa_2018_2023,"- Features: Vibration, Acoustic, Speed
- Overview: Bộ dữ liệu từ Đại học Ottawa tập trung vào bài toán chẩn đoán lỗi trong điều kiện tốc độ vận hành thay đổi linh hoạt (non-stationary).
- Experimental Setup: Sử dụng các vòng bi có lỗi rãnh trong và rãnh ngoài, được thử nghiệm trên băng tải có tốc độ thay đổi linh hoạt.
- Data Characteristics: Kết hợp đồng thời tín hiệu rung động, phát xạ âm thanh (AE) và dữ liệu tốc độ tức thời từ encoder.
- Operating Conditions: Bao gồm các kịch bản tốc độ tăng dần, giảm dần và biến thiên ngẫu nhiên để mô phỏng vận hành thực tế."
Tham khảo thêm tại github,
,
B. Papers,
1. Mamba,
Bearing Degradation Prediction based on Multi-Scale Mamba-Transformer Model (2025),"Bài báo công bố tại hội nghị IEEE ICPHM 2025 đề xuất mô hình Multi-Scale Mamba-Transformer (MSMT) nhằm dự đoán chính xác xu hướng suy thoái phức tạp của vòng bi trong máy móc. Bằng cách kết hợp kiến trúc Mamba để nắm bắt xu hướng xuống cấp dài hạn và cơ chế Local Attention để nhận diện các biến động bất thường ngắn hạn, MSMT đã khắc phục thành công những khó khăn trong việc mô hình hóa chu kỳ hư hỏng nhiều giai đoạn. Kết quả thực nghiệm trên bộ dữ liệu chuẩn PRONOSTIA chứng minh MSMT có độ chính xác và tính ổn định vượt trội đáng kể so với các phương pháp hiện hành, mang lại giá trị to lớn cho công tác quản lý và bảo trì dự báo (PHM) nhằm ngăn ngừa hỏng hóc và giảm thiểu thiệt hại kinh tế."
